Molecule ChEMBL ID,Standard Value,Smiles,Source Description,Assay Description,Assay Type,Assay Organism,Assay Tissue Name,Document Journal,Document Year,Target Name,Standard Type,Standard Units,pChEMBL Value,Molecular Weight,AlogP
CHEMBL69648,41.0,NCCC1CCN(C(=O)[C@](O)(c2ccccc2)C2CCCC2)CC1,Scientific Literature,Binding affinity against human muscarinic acetylcholine receptor M2 in transfected CHO cells,B,,,Bioorg Med Chem Lett,2003.0,Muscarinic acetylcholine receptor M2,Ki,nM,7.39,330.47,2.65
CHEMBL164935,0.1,COc1ccccc1C(=O)N1CCC(N2CCN([C@@H](C)c3ccc(S(=O)(=O)c4ccc5c(c4)OCO5)cc3)[C@H](C)C2)CC1,Scientific Literature,Binding affinity against human muscarinic acetylcholine receptor M2 using [3H]N-methylscopolamine as radioligand,B,,,Bioorg Med Chem Lett,2002.0,Muscarinic acetylcholine receptor M2,Ki,nM,10.0,605.76,4.63
CHEMBL5282659,28.0,NCCCCCCN1CCC(OC(=O)Nc2ccc(F)cc2-c2ccc(F)c(Cl)c2)CC1,Scientific Literature,Displacement of [3H]N-methylscopolamine from human muscarinic M2 receptor expressed in human HEK293T cell membranes by radioligand competition binding based analysis,B,Homo sapiens,,J Med Chem,2022.0,Muscarinic acetylcholine receptor M2,Ki,nM,7.55,465.97,5.82
CHEMBL5265833,9.3,C#CCCCCCCN1CCC(COC(=O)Nc2ccc(F)cc2-c2ccc(F)c(Cl)c2)CC1,Scientific Literature,Displacement of [3H]N-methylscopolamine from human muscarinic M2 receptor expressed in human HEK293T cell membranes by radioligand competition binding based analysis,B,Homo sapiens,,J Med Chem,2022.0,Muscarinic acetylcholine receptor M2,Ki,nM,8.03,489.01,7.13
CHEMBL306903,2200.0,O=C(NCC1CCNCC1)[C@](O)(c1ccccc1)[C@@H]1CCC(F)(F)C1,Scientific Literature,Binding affinity against human muscarinic acetylcholine receptor M2 in transfected CHO cells,B,,,Bioorg Med Chem Lett,2003.0,Muscarinic acetylcholine receptor M2,Ki,nM,5.66,352.43,2.43
CHEMBL279520,29512.09,CN(C)CCNC(=O)C1=C/C(=C\c2cccnc2)c2ccccc21,Scientific Literature,Affinity for Muscarinic acetylcholine receptor M2 expressed in CHO cells by [3H]NMS displacement.,B,,,Bioorg Med Chem Lett,2001.0,Muscarinic acetylcholine receptor M2,Ki,nM,4.53,319.41,2.7
CHEMBL9967,270.0,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,Scientific Literature,Binding affinity for muscarinic acetylcholine receptor M2 by measuring displacement of [3H]QNB from guinea pig heart,B,Cavia porcellus,,J Med Chem,1995.0,Muscarinic acetylcholine receptor M2,Ki,nM,6.57,351.41,1.56
CHEMBL3545181,0.1,C[N+]1(C)[C@@H]2C[C@@H](OC(=O)C(O)(c3cccs3)c3cccs3)C[C@H]1[C@@H]1O[C@@H]12.O.[Br-],Scientific Literature,Binding affinity to muscarinic M2 receptor,B,,,J Med Chem,2009.0,Muscarinic acetylcholine receptor M2,Ki,nM,10.0,490.44,2.35
CHEMBL106259,4073.8,CCN(C)C(=O)c1c(C)[nH]c2ccc3c(c12)CN1CCc2cc(OC)ccc2C1O3,Scientific Literature,Inhibition of [3H]-NMS binding to human muscarinic acetylcholine receptor M2 in transfected CHO cells.,B,,,J Med Chem,2002.0,Muscarinic acetylcholine receptor M2,Ki,nM,5.39,405.5,4.03
CHEMBL2112957,0.82,O=C(NC[C@H]1CCCN(CC2CCCCC2)C1)[C@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)CC(c1ccccc1)(c1ccccc1)c1ccccc1,Scientific Literature,Binding affinity (Ki) against binding of [3H]NMS to membranes from CHO cells expressing cloned human Muscarinic acetylcholine receptor M2,B,Homo sapiens,,J Med Chem,2002.0,Muscarinic acetylcholine receptor M2,Ki,nM,9.09,688.96,6.8
