Molecule ChEMBL ID,Standard Value,Smiles
CHEMBL2138684,694.23,CN[C@@H]1CCc2[nH]c3ccc(C(N)=O)cc3c2C1.O.O=C(O)CCC(=O)O
CHEMBL380330,13.0,COc1ccc2c(c1)CCN(C)CCc1ccccc1C2
CHEMBL487387,974.0,COc1cc2c(cc1O)[C@@H]1Cc3ccc(O)c(OC)c3CN1CC2
CHEMBL596179,10000.0,CN1CCCc2cc(O)ccc2Cc2ccccc2C1
CHEMBL313255,501.19,CC(=O)Nc1cccc(/C=C/C(=O)N[C@H]2CC[C@H](CCN3CCc4ccc(C#N)cc4CC3)CC2)c1
CHEMBL316983,3000.0,CCCN(CCC)[C@H]1CCn2c(C=O)ccc2C1
CHEMBL198070,4.5,CC1Oc2c(cccc2N2CCN(CCCc3c[nH]c4ccccc34)CC2)NC1=O
CHEMBL63449,423.0,CCCN(CCC)[C@H]1CCc2ccc3[nH]cc(C(C)=O)c3c2C1
CHEMBL419316,1000.0,COc1cc2c(cc1OC)C1=NO[C@@H](CN3CCN(C/C=C(\C)c4ccccc4)CC3)[C@@H]1CO2
CHEMBL593056,794.33,Cn1c(CN2CCC(c3ncc(C(F)(F)F)cc3Cl)CC2)nc2ccccc21
CHEMBL166325,15000.0,CCCN(CCC)C1CC=C(C#Cc2ccccc2)CC1
CHEMBL331005,411.0,CCc1ccc2c(c1OC)-c1cccc3c1[C@@H](C2)N(C)CC3
CHEMBL160749,16000.0,Cc1nn2c(-c3ccc(F)cc3)cccc2c1CN1CCN(c2ccc(Cl)cc2)CC1
CHEMBL30560,334.0,COc1cccc2c1CCC(N)C2
CHEMBL308476,4.0,c1ccc(-c2cccc(CN3CCN(c4cccc5c4CCCN5)CC3)c2)cc1
CHEMBL126892,20.9,COc1ccccc1N1CCN(CCCCNC(=O)c2nccc3ccccc23)CC1.O=C(O)C(=O)O
CHEMBL602264,86.0,CCCN(CCN1CCN(c2ccc(O)c3ncccc23)CC1)C1CCc2ccc(O)cc2C1
CHEMBL599636,3.75,CCCN(CCN1CCN(c2ccnc3c(O)cccc23)CC1)C1CCc2c(O)cccc2C1
CHEMBL477250,12.3,COc1ccccc1N1CCN(CCCCN2CCc3ccccc3C2=O)CC1
CHEMBL91510,2511.89,CCCN(CCCCNC(=O)c1ccc(-c2ccccc2)cc1)C1CCc2nc(NC)ncc2C1
CHEMBL210578,1.6,O=C(CCCN1C2CCC1CC(O)(c1ccc(Cl)cc1)C2)c1ccc(F)cc1
CHEMBL150161,33.0,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)C1)c1ccc(F)cc1
CHEMBL253096,10000.0,CC1(c2cccc(OCc3ccccc3)c2)C(=O)Nc2cc(Cl)cc(Cl)c2C1=O
CHEMBL246637,6.9,OC1(c2ccc(Cl)c(Cl)c2)CCN(Cc2c[nH]c3ccccc23)CC1
