Molecule ChEMBL ID,Standard Value,Smiles,Source Description,Assay Description,Assay Type,Assay Organism,Assay Tissue Name,Document Journal,Document Year,Target Name,Standard Type,Standard Units,pChEMBL Value,Molecular Weight,AlogP
CHEMBL71033,10000.0,Cc1cccc(C)c1CC1=NCCN1,Scientific Literature,Binding affinity towards human 5-hydroxytryptamine 1B receptor,B,Homo sapiens,,Bioorg Med Chem Lett,2004,Serotonin 1b (5-HT1b) receptor,Ki,nM,,188.27,1.85
CHEMBL196370,12.4,COc1ccc(NC(=O)N2CCN(c3ccccc3OC)CC2)cc1N1CCN(C)CC1,Scientific Literature,In vitro binding affinity towards cloned human 5-HT1B receptor using [3H]5-carboximidotryptamine as radioligand,B,Homo sapiens,,Bioorg Med Chem Lett,2005,Serotonin 1b (5-HT1b) receptor,Ki,nM,7.91,439.56,2.81
CHEMBL423789,65.0,O=C(NN1CC=C(c2ccc3[nH]cc(CCN4CCCC4)c3c2)CC1)c1cccc2ccccc12,Scientific Literature,Binding affinity was evaluated at the cloned human 5-hydroxytryptamine 1B receptor,B,,,Bioorg Med Chem Lett,2004,Serotonin 1b (5-HT1b) receptor,Ki,nM,7.19,464.61,5.39
CHEMBL195114,1.995,COc1cc2c(cc1N1CCN(C)CC1)N(C(=O)c1ccc(-c3cccc(C)n3)c3ccccc13)CC2,Scientific Literature,Binding affinity against cloned human 5-hydroxytryptamine 1B receptor,B,Homo sapiens,,Bioorg Med Chem Lett,2005,Serotonin 1b (5-HT1b) receptor,Ki,nM,8.7,492.62,5.17
CHEMBL196600,1.585,COc1cc2c(cc1N1C[C@@H](C)N(C)[C@@H](C)C1)N(C(=O)Cc1cccc(C(F)(F)F)c1F)CC2,Scientific Literature,Binding affinity against cloned human 5-hydroxytryptamine 1B receptor,B,Homo sapiens,,Bioorg Med Chem Lett,2005,Serotonin 1b (5-HT1b) receptor,Ki,nM,8.8,479.52,4.51
CHEMBL472117,60.0,FC(F)(F)c1nc2c(N3CCN(CCOc4cccc5nc(C(F)(F)F)[nH]c45)CC3)cccc2[nH]1,Scientific Literature,Binding affinity to human 5HT1B receptor,B,Homo sapiens,,Bioorg Med Chem,2008,Serotonin 1b (5-HT1b) receptor,Ki,nM,7.22,498.43,4.68
CHEMBL2112662,0.2,Cc1ccccc1CN1CCN(C(=O)COc2ccc3cccc(N4CCN(C)CC4)c3c2)CC1,Scientific Literature,Receptor binding affinity for cloned human 5-hydroxytryptamine 1B receptor in Cos-7 cells,B,Homo sapiens,,J Med Chem,1997,Serotonin 1b (5-HT1b) receptor,Ki,nM,9.7,472.63,3.62
CHEMBL178066,260.0,Cc1[nH]c2ccc(NC(=O)c3ccc(F)cc3)cc2c1CCN(C)C,Scientific Literature,Binding affinity to 5-HT1B (unknown origin) assessed as inhibition constant,B,Homo sapiens,,J Med Chem,2022,Serotonin 1b (5-HT1b) receptor,Ki,nM,,339.41,3.97
CHEMBL431041,240.0,CC(=O)Nc1ccc2[nH]cc(C3CCN(C)CC3)c2n1,Scientific Literature,Binding affinity to 5-HT1B (unknown origin) assessed as inhibition constant,B,Homo sapiens,,J Med Chem,2022,Serotonin 1b (5-HT1b) receptor,Ki,nM,,272.35,2.33
CHEMBL428991,44.0,COc1ccc(C(=O)NN2CC=C(c3ccc4[nH]cc(CCN5CCCC5)c4c3)CC2)cc1,Scientific Literature,Binding affinity was evaluated at the cloned human 5-hydroxytryptamine 1B receptor,B,,,Bioorg Med Chem Lett,2004,Serotonin 1b (5-HT1b) receptor,Ki,nM,7.36,444.58,4.25
CHEMBL355517,32.0,NCCc1c[nH]c2ccc(-c3cccs3)cc12,Scientific Literature,Binding affinity for human 5-hydroxytryptamine 1B receptor,B,Homo sapiens,,Bioorg Med Chem Lett,2000,Serotonin 1b (5-HT1b) receptor,Ki,nM,7.5,242.35,3.4
CHEMBL304426,364.0,CCCN(CCC)C1CCc2ccc3[nH]cc(C=O)c3c2C1,Scientific Literature,"Binding affinity against 5-hydroxytryptamine 1D receptor beta expressed in CHO-K1 cells, using [3H]5-HT as the radioligand.",B,,,J Med Chem,1995,Serotonin 1b (5-HT1b) receptor,Ki,nM,6.44,298.43,3.96
CHEMBL2112661,0.43,CN1CCN(c2cccc3ccc(OCC(=O)N4CCN(c5cccc6ccccc56)CC4)cc23)CC1,Scientific Literature,Receptor binding affinity for cloned human 5-hydroxytryptamine 1B receptor in Cos-7 cells,B,Homo sapiens,,J Med Chem,1997,Serotonin 1b (5-HT1b) receptor,Ki,nM,9.37,494.64,4.47
CHEMBL2112660,0.38,CN1CCN(c2cccc3ccc(OCC(=O)N4CCN(c5ccccc5C#N)CC4)cc23)CC1,Scientific Literature,Receptor binding affinity for cloned human 5-hydroxytryptamine 1B receptor in Cos-7 cells,B,Homo sapiens,,J Med Chem,1997,Serotonin 1b (5-HT1b) receptor,Ki,nM,9.42,469.59,3.19
CHEMBL5094493,160.0,CCCN(CCC)CCc1ccc(Cl)c(-c2ccccc2OC)c1,Scientific Literature,Binding affinity to 5-HT1BR (unknown origin),B,Homo sapiens,,J Med Chem,2021,Serotonin 1b (5-HT1b) receptor,Ki,nM,6.8,345.91,5.68
CHEMBL138958,26.0,CNCCOc1cccc2ccccc12,Scientific Literature,Agonist activity to the human recombinant 5-hydroxytryptamine 1B receptor,F,,,J Med Chem,1997,Serotonin 1b (5-HT1b) receptor,Ki,nM,7.58,201.27,2.44
CHEMBL5431371,10000.0,CCN(CC)CCCC(C)Nc1cnc(C(=O)Nc2cc(F)cc3cccnc23)cn1,Scientific Literature,Binding affinity to 5-HT1B receptor (unknown origin) assessed as inhibition constant,B,Homo sapiens,,J Med Chem,2023,Serotonin 1b (5-HT1b) receptor,Ki,nM,,424.52,4.34
CHEMBL602674,1.738,CCC(=O)N1CCN(c2ccc(NC(=O)c3cc(=O)c4cc(F)cc(N5CCN(C)CC5)c4o3)cc2)CC1,Scientific Literature,Binding affinity to 5HT1B receptor expressed in CHO cells,B,,,J Med Chem,2010,Serotonin 1b (5-HT1b) receptor,Ki,nM,8.76,521.59,2.99
CHEMBL601012,9.333,Cc1n[nH]c(C)c1-c1ccc(C)c2c(=O)cc(C(=O)Nc3ccc(N4CCOCC4)cc3)[nH]c12,Scientific Literature,Binding affinity to 5HT1B receptor expressed in CHO cells,B,,,J Med Chem,2010,Serotonin 1b (5-HT1b) receptor,Ki,nM,8.03,457.53,3.93
CHEMBL285402,2.56,CN1CCN(c2cccc3ccc(OCC(=O)N4CCN(C(=O)COc5ccc6cccc(N7CCN(C)CC7)c6c5)CC4)cc23)CC1,Scientific Literature,Binding affinity was evaluated at human recombinant 5-hydroxytryptamine 1B receptor using [3H]5-CT as radioligand,B,,,Bioorg Med Chem Lett,1998,Serotonin 1b (5-HT1b) receptor,Ki,nM,8.59,650.82,3.63
CHEMBL45929,47.0,CCc1ccc2[nH]cc(C[C@H]3CCCN3C)c2c1,Scientific Literature,Binding affinity towards cloned human 5-hydroxytryptamine 1B receptor,B,Homo sapiens,,Bioorg Med Chem Lett,2000,Serotonin 1b (5-HT1b) receptor,Ki,nM,7.33,242.37,3.37
CHEMBL318018,501.19,Cc1sc2ccc(Cl)cc2c1S(=O)(=O)Nc1ccc2nccc(N3CCNCC3)c2c1,Scientific Literature,Binding affinity to human cloned 5-hydroxytryptamine 1B receptor in CHO cells using [3H]5-HT as radioligand,B,Homo sapiens,,Bioorg Med Chem Lett,2001,Serotonin 1b (5-HT1b) receptor,Ki,nM,6.3,473.02,4.62
