Molecule ChEMBL ID,Standard Value,Smiles,Source Description,Assay Description,Assay Type,Assay Organism,Assay Tissue Name,Document Journal,Document Year,Target Name,Standard Type,Standard Units,pChEMBL Value,Molecular Weight,AlogP
CHEMBL27979,10000.0,C[C@H]1CC[C@H](C)N1CCCOc1ccc(-c2ccc(C(=O)N3CCOCC3)cc2)cc1,Scientific Literature,Binding affinity towards human histaminergic (H2) receptor,B,,,Bioorg Med Chem Lett,2003.0,Histamine H2 receptor,Ki,nM,5.0,422.57,4.47
CHEMBL308717,5011.87,CCC/N=C(\S)NCCCCCc1c[nH]cn1,Scientific Literature,Displacement of [125 I]iodoaminopotentidine bound to membranes of CHO cells expressing human H2 receptors,B,Homo sapiens,,J Med Chem,1995.0,Histamine H2 receptor,Ki,nM,5.3,254.4,2.41
CHEMBL61120,100000.0,NCCC(=O)N1CCN(CCCOc2ccc(C(=O)C3CC3)cc2)CC1,Scientific Literature,Binding affinity towards Histamine H2 receptor from human membranes,B,,,Bioorg Med Chem Lett,2002.0,Histamine H2 receptor,Ki,nM,4.0,359.47,1.54
CHEMBL3417586,10000.0,C[C@@H]1CCCN1CCCOc1ccc(C2=NNC(=O)[C@H]3C[C@@H]23)cc1,Scientific Literature,Inhibition of human H2R,B,Homo sapiens,,Eur J Med Chem,2015.0,Histamine H2 receptor,Ki,nM,,327.43,2.41
CHEMBL2048820,3304.46,Cc1cn2cc(CC(=O)N3CCC4(CC3)CN(Cc3ccc(-n5nccn5)cc3Cl)C4)nc2s1,EUbOPEN Chemogenomic Library,"PDSP Secondary Binding target: HRH2 - Compounds are tested at 10 uM concentration, plate are incubated at room temperature in the dark for 90 minutes. Reaction are stopped by vacuum filtration onto 0.3% polyethyleneimine soaked filter mats using Filtermate harvester. Scintillation cocktail is then melted onto microwave-dried filters on a hot plate and the radio activity is counted in Microbia counter. Compounds showing a minimum of 50% inhibition at 10 uM concentration are carried forward in this secondary binding assay to determine equilibrium binding affinity.",B,Homo sapiens,,,2024.0,Histamine H2 receptor,Ki,nM,5.48,496.04,3.61
CHEMBL96467,1000.0,C[C@@H]1OC(=O)N(C(=O)NCCCN2CCC(c3ccc(F)cc3)CC2)[C@H]1c1ccc(F)c(F)c1,Scientific Literature,"Binding affinity towards human Histamine H2 receptor, using [3H]tiotidine as radioligand.",B,,,J Med Chem,2000.0,Histamine H2 receptor,Ki,nM,,475.51,4.97
CHEMBL2413153,1767.0,Cn1c(=O)cnn(CCCCN2CCN(c3ccccc3OCCF)CC2)c1=O,Scientific Literature,Binding affinity to histamine H2 receptor (unknown origin),B,Homo sapiens,,Bioorg Med Chem,2013.0,Histamine H2 receptor,Ki,nM,5.75,405.47,0.89
CHEMBL2031885,10000.0,C[C@@H]1CCCN1CCN1CCc2cc(-c3ccc(C(=O)N4CCCC4)cc3)ccc2C1=O,Scientific Literature,Binding affinity to H2 receptor,B,,,J Med Chem,2012.0,Histamine H2 receptor,Ki,nM,,431.58,4.07
CHEMBL5086970,2960.61,COc1ccc(CC[C@@H](OC(=O)[C@H]2CCCCN2C(=O)[C@@H](c2cc(OC)c(OC)c(OC)c2)C2CCCCC2)c2cccc(OCCN3CCOCC3)c2)cc1OC,SGC Frankfurt - Donated Chemical Probes,GPCRScan assay: inhibition of H2,B,Homo sapiens,,,2022.0,Histamine H2 receptor,Ki,nM,5.53,803.01,7.4
CHEMBL5086970,2691.53,COc1ccc(CC[C@@H](OC(=O)[C@H]2CCCCN2C(=O)[C@@H](c2cc(OC)c(OC)c(OC)c2)C2CCCCC2)c2cccc(OCCN3CCOCC3)c2)cc1OC,SGC Frankfurt - Donated Chemical Probes,GPCRScan assay: inhibition of H2,B,Homo sapiens,,,2022.0,Histamine H2 receptor,Ki,nM,5.57,803.01,7.4
