1"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL240773";"QUINPIROLE";"-1.0";"219.33";"0";"2.00";"Quinpirole";"CCCN1CCC[C@@H]2Cc3[nH]ncc3C[C@H]21";"Ki";"'='";"64.0";"nM";"7.19";"";"";"UO_0000065";"32.80";"0.61";"5.19";"22.54";"1";"CHEMBL672098";"In vitro binding affinity to displace [3H]spiperone from the cloned human dopamine receptor D2 long in CHO cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136617";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"CHEMBL3308072";"";"";"";"64.0"
"CHEMBL242602";"";"None";"494.62";"0";"4.66";"41";"Cc1cc(-c2ccc3c(c2)CCN(CCSc2nnc(-c4ccc(F)c(F)c4)n2C)CC3)n(C)n1";"Ki";"'>'";"630.96";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL895462";"Displacement of [35S]GTP-gamma-S from human cloned dopamine D2 receptor expressed in CHO cells after 30 mins";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148818";"1";"Scientific Literature";"J Med Chem";"2007";"CHEMBL3308072";"";"";"";"6.2"
"CHEMBL286177";"";"None";"377.48";"0";"4.12";"15";"OC(COc1cccc2ccccc12)CN1CCC(Oc2ccccc2)CC1";"Ki";"'='";"2336.0";"nM";"5.63";"";"";"UO_0000065";"14.92";"0.27";"1.51";"13.43";"0";"CHEMBL671653";"Binding affinity against cloned human D2 receptor transfected in CHO-K1 cells using [3H]- spiperone as radioligand.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1130437";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"CHEMBL3307512";"";"";"";"2336.0"
"CHEMBL315560";"";"None";"599.78";"2";"8.10";"16";"CCN(CC)CCCOc1ccc(-c2nc3ccccc3n2C/C=C/Cn2c(-c3ccc(OC)cc3)nc3ccccc32)cc1";"Ki";"'='";"1414.0";"nM";"5.85";"";"";"UO_0000065";"9.75";"0.18";"-2.25";"10.20";"0";"CHEMBL670392";"Binding affinity towards human cloned Dopamine D2 receptor in CHO cells by [3H]spiperone displacement.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1128063";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1995";"CHEMBL3308072";"";"";"";"1414.0"
"CHEMBL74805";"";"None";"404.45";"0";"4.06";"5q";"Oc1nc2cccc(N3CCN(Cc4ccnc(-c5ccc(F)cc5)c4)CC3)c2o1";"Ki";"'='";"2.9";"nM";"8.54";"";"";"UO_0000065";"21.11";"0.39";"4.48";"13.01";"0";"CHEMBL672308";"Binding affinity for dopamine receptor D2 determined using [3H]spiperone";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133937";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2001";"None";"";"";"";"2.9"
"CHEMBL135152";"";"None";"219.33";"0";"2.55";"4";"CCCNC1CCc2c(cccc2OC)C1";"Ki";"'='";"380.0";"nM";"6.42";"";"";"UO_0000065";"29.27";"0.55";"3.87";"30.20";"0";"CHEMBL670536";"Binding affinity was evaluated by calculating competition for [3H]spiperone binding on Dopamine receptor D2L of CHO K-1 cells.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129692";"1";"Scientific Literature";"J Med Chem";"1996";"CHEMBL3308072";"";"";"";"380.0"
"CHEMBL2165131";"";"None";"482.41";"1";"5.99";"BDBM50395584";"O=C1CCc2ccc(Oc3cccc(CN4CCN(c5cccc(Cl)c5Cl)CC4)c3)cc2N1";"Ki";"'='";"113.0";"nM";"6.95";"";"334922";"UO_0000065";"14.40";"0.29";"0.96";"15.50";"1";"CHEMBL3887359";"Radioligand Binding Assay: Membranes prepared as above were resuspended to 1 ug protein/ul (measured by Bradford assay using BSA as standard), and 50 ul were added to each well of a polypropylene 96-well plate containing (per well): 50 ul of buffer (20 mM HEPES, 10 mM MgCl2, 1 mM EDTA, 1 mM EGTA, 100 mM N-methyl-D-gluconate, pH 7.4), 50 ul of 1.5 nM [3H]N-methylspiperone (final concentration 0.3 nM) and reference or D2 test ligand at various concentrations ranging from 50 uM to 50 uM (final concentrations ranging from 10 uM to 10 uM, triplicate determinations for each concentration of D2 test ligand). After a 1.5-hr incubation in the dark at room temperature, the reactions were harvested onto 0.3% PEI-soaked Filtermax GF/A filters (Wallac) and washed three times with ice-cold 50 mM Tris, pH 7.4 using a Perkin-Elmer Filtermate 96-well harvester. The filters were subsequently dried, placed on a hot plate (100° C.), and Melitilex-A (Wallac) scintillant was applied.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886292";"37";"BindingDB Patent Bioactivity Data";"";"2015";"None";"";"";"";"113.0"
"CHEMBL309901";"";"None";"365.91";"1";"5.42";"32";"Cc1c(C2CCN(Cc3ccccc3)CC2)n[nH]c1-c1ccc(Cl)cc1";"Ki";"'='";"200.0";"nM";"6.70";"";"";"UO_0000065";"18.31";"0.35";"1.28";"20.99";"0";"CHEMBL672209";"Ability to displace [3H]spiperone from human dopamine receptor D2 stably expressed in CHO cells.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1130098";"1";"Scientific Literature";"J Med Chem";"1997";"CHEMBL3308072";"";"";"";"200.0"
"CHEMBL2112285";"";"None";"355.87";"0";"4.72";"25";"O=C(/C=C(\O)c1ccc(Cl)cc1)C1CCN(Cc2ccccc2)CC1";"Ki";"'='";"120.0";"nM";"6.92";"";"";"UO_0000065";"19.45";"0.38";"2.20";"17.07";"0";"CHEMBL672209";"Ability to displace [3H]spiperone from human dopamine receptor D2 stably expressed in CHO cells.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1130098";"1";"Scientific Literature";"J Med Chem";"1997";"CHEMBL3308072";"";"";"";"120.0"
"CHEMBL78287";"";"None";"386.33";"1";"5.76";"7";"Clc1ccc(-c2cc(C3CCN(Cc4cccc(Cl)c4)CC3)[nH]n2)cc1";"Ki";"'='";"570.0";"nM";"6.24";"";"";"UO_0000065";"16.16";"0.33";"0.48";"19.56";"0";"CHEMBL672209";"Ability to displace [3H]spiperone from human dopamine receptor D2 stably expressed in CHO cells.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1130098";"1";"Scientific Literature";"J Med Chem";"1997";"CHEMBL3308072";"";"";"";"570.0"
"CHEMBL343755";"";"None";"335.45";"0";"3.05";"SS-2c";"C[C@H]1C[C@H](C)N1C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1";"Ki";"'='";"110.0";"nM";"6.96";"";"";"UO_0000065";"20.74";"0.38";"3.91";"17.69";"0";"CHEMBL670786";"Binding affinity towards Dopamine receptor D2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135791";"1";"Scientific Literature";"J Med Chem";"2002";"None";"";"";"";"110.0"
"CHEMBL291801";"";"None";"534.72";"2";"5.47";"3k";"CCCN(CCCCNC(=O)c1ccc(-c2ccccc2)cc1)C1CCc2c(cccc2OS(C)(=O)=O)C1";"Ki";"'='";"251.19";"nM";"6.60";"";"";"UO_0000065";"12.34";"0.24";"1.13";"8.72";"0";"CHEMBL672226";"Displacement of [125I]iodosulpiride from human Dopamine receptor D2 expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153677";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"CHEMBL3308072";"";"";"";"-6.6"
"CHEMBL335545";"CI-1007";"None";"329.49";"1";"5.66";"(+)-14";"C1=C(c2ccccc2)CCN(C[C@@H]2CCC=C(c3ccccc3)C2)C1";"Ki";"'='";"25.5";"nM";"7.59";"";"";"UO_0000065";"23.05";"0.41";"1.93";"234.37";"0";"CHEMBL673248";"Tested for binding affinity towards human D2L receptor using [3H]spiperone as radioligand";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1127372";"1";"Scientific Literature";"J Med Chem";"1994";"None";"";"";"";"25.5"
"CHEMBL3409253";"";"None";"503.05";"2";"5.03";"65";"NC(=O)c1ccccc1OCCCN1CCN(c2cccc3c2ccn3Cc2cccc(Cl)c2)CC1";"Ki";"'='";"76.0";"nM";"7.12";"";"";"UO_0000065";"14.15";"0.27";"2.09";"11.17";"0";"CHEMBL3413541";"Displacement of [3H]N-methylspiperone from human recombinant dopamine D2 receptor expressed in CHOK1 cells incubated for 60 mins by scintillation counting method";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3407464";"1";"Scientific Literature";"Eur J Med Chem";"2015";"CHEMBL3307512";"";"";"";"76.0"
"CHEMBL336652";"";"None";"205.30";"0";"2.25";"21";"CCCNC1CCc2ccc(O)cc2C1";"Ki";"'='";"3.8";"nM";"8.42";"";"";"UO_0000065";"41.01";"0.77";"6.17";"26.10";"0";"CHEMBL670173";"Binding affinity was evaluated by calculating competition for [3H]N-0437 binding on Dopamine receptor D2L of CHO K-1 cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129692";"1";"Scientific Literature";"J Med Chem";"1996";"CHEMBL3308072";"";"";"";"3.8"
"CHEMBL25074";"";"None";"359.90";"0";"3.70";"20b (SDZ-208912)";"CN1C[C@@H](NC(=O)C(C)(C)C)CC2c3cccc4[nH]c(Cl)c(c34)C[C@H]21";"Ki";"'='";"3.6";"nM";"8.44";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL673016";"Compound was tested for agonistic activity against D2 receptor from cloned CHO cells, used [3H]U-86170 as radioligand";"F";"BAO_0000219";"cell-based format";"Cricetulus griseus";"None";"None";"CHO";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1126679";"1";"Scientific Literature";"J Med Chem";"1993";"CHEMBL3308072";"";"";"";"3.6"
